ctx-rh-lateralorbitofrontal
ctx-rh-parsorbitalis
ctx-rh-frontalpole
ctx-rh-medialorbitofrontal
ctx-rh-parstriangularis
ctx-rh-parsopercularis
ctx-rh-rostralmiddlefrontal
ctx-rh-superiorfrontal
ctx-rh-caudalmiddlefrontal
ctx-rh-precentral
ctx-rh-paracentral
ctx-rh-rostralanteriorcingulate
ctx-rh-caudalanteriorcingulate
ctx-rh-posteriorcingulate
ctx-rh-isthmuscingulate
ctx-rh-postcentral
ctx-rh-supramarginal
ctx-rh-superiorparietal
ctx-rh-inferiorparietal
ctx-rh-precuneus
ctx-rh-cuneus
ctx-rh-pericalcarine
ctx-rh-lateraloccipital
ctx-rh-lingual
ctx-rh-fusiform
ctx-rh-parahippocampal
ctx-rh-entorhinal
ctx-rh-temporalpole
ctx-rh-inferiortemporal
ctx-rh-middletemporal
ctx-rh-bankssts
ctx-rh-superiortemporal
ctx-rh-transversetemporal
ctx-rh-insula
thal-rh-pulvinar
thal-rh-ventral_anterior
thal-rh-mediodorsal
thal-rh-lateral_posterior_ventral_posterior_group
thal-rh-medial_pulvinar_centrolateral
thal-rh-ventrolateral
thal-rh-ventral_posterior_ventrolateral
subc-rh-caudate
subc-rh-putamen
subc-rh-pallidum
subc-rh-accumbens_area
subc-rh-amygdala
subc-rh-hippocampus
ctx-lh-lateralorbitofrontal
ctx-lh-parsorbitalis
ctx-lh-frontalpole
ctx-lh-medialorbitofrontal
ctx-lh-parstriangularis
ctx-lh-parsopercularis
ctx-lh-rostralmiddlefrontal
ctx-lh-superiorfrontal
ctx-lh-caudalmiddlefrontal
ctx-lh-precentral
ctx-lh-paracentral
ctx-lh-rostralanteriorcingulate
ctx-lh-caudalanteriorcingulate
ctx-lh-posteriorcingulate
ctx-lh-isthmuscingulate
ctx-lh-postcentral
ctx-lh-supramarginal
ctx-lh-superiorparietal
ctx-lh-inferiorparietal
ctx-lh-precuneus
ctx-lh-cuneus
ctx-lh-pericalcarine
ctx-lh-lateraloccipital
ctx-lh-lingual
ctx-lh-fusiform
ctx-lh-parahippocampal
ctx-lh-entorhinal
ctx-lh-temporalpole
ctx-lh-inferiortemporal
ctx-lh-middletemporal
ctx-lh-bankssts
ctx-lh-superiortemporal
ctx-lh-transversetemporal
ctx-lh-insula
thal-lh-pulvinar
thal-lh-ventral_anterior
thal-lh-mediodorsal
thal-lh-lateral_posterior_ventral_posterior_group
thal-lh-medial_pulvinar_centrolateral
thal-lh-ventrolateral
thal-lh-ventral_posterior_ventrolateral
subc-lh-caudate
subc-lh-putamen
subc-lh-pallidum
subc-lh-accumbens_area
subc-lh-amygdala
subc-lh-hippocampus
brain-stem-Brain_Stem
