lh-cuneus
lh-lateraloccipital
lh-lingual
lh-pericalcarine
lh-bankssts
lh-entorhinal
lh-fusiform
lh-inferiortemporal
lh-middletemporal
lh-parahippocampal
lh-superiortemporal
lh-temporalpole
lh-transversetemporal
lh-inferiorparietal
lh-postcentral
lh-precuneus
lh-superiorparietal
lh-supramarginal
lh-caudalanteriorcingulate
lh-isthmuscingulate
lh-posteriorcingulate
lh-rostralanteriorcingulate
lh-paracentral
lh-caudalmiddlefrontal
lh-frontalpole
lh-parsopercularis
lh-parstriangularis
lh-precentral
lh-rostralmiddlefrontal
lh-superiorfrontal
lh-lateralorbitofrontal
lh-medialorbitofrontal
lh-parsorbitalis
lh-insula
lhsc-Thalamus-Proper
lhsc-Pallidum
lhsc-Putamen
lhsc-Hippocampus
lhsc-Caudate
lhsc-Accumbens-area
lhsc-Amygdala
rh-cuneus
rh-lateraloccipital
rh-lingual
rh-pericalcarine
rh-bankssts
rh-entorhinal
rh-fusiform
rh-inferiortemporal
rh-middletemporal
rh-parahippocampal
rh-superiortemporal
rh-temporalpole
rh-transversetemporal
rh-inferiorparietal
rh-postcentral
rh-precuneus
rh-superiorparietal
rh-supramarginal
rh-caudalanteriorcingulate
rh-isthmuscingulate
rh-posteriorcingulate
rh-rostralanteriorcingulate
rh-paracentral
rh-caudalmiddlefrontal
rh-frontalpole
rh-parsopercularis
rh-parstriangularis
rh-precentral
rh-rostralmiddlefrontal
rh-superiorfrontal
rh-lateralorbitofrontal
rh-medialorbitofrontal
rh-parsorbitalis
rh-insula
rhsc-Thalamus-Proper
rhsc-Pallidum
rhsc-Putamen
rhsc-Hippocampus
rhsc-Caudate
rhsc-Accumbens-area
rhsc-Amygdala
