1.484375000000000000e+01,1.838085900000000095e+01,1.600000000000000000e+01,nan,2.400000000000000000e+01,2.100000000000000000e+01,1.875000000000000000e+01,2.460937500000000000e+01,2.500000000000000000e+01,2.500000000000000000e+01,3.095703100000000063e+01,3.400000000000000000e+01,3.073437500000000000e+01,nan,2.628125000000000000e+01,2.700000000000000000e+01,nan,nan,nan,2.579296899999999937e+01,3.493164099999999905e+01,3.300000000000000000e+01,nan,2.949218799999999874e+01,nan,nan,2.600000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.200000000000000000e+01,nan,2.300000000000000000e+01,1.900000000000000000e+01,2.600000000000000000e+01,3.000000000000000000e+01,3.100000000000000000e+01,3.000000000000000000e+01,nan,3.000000000000000000e+01,2.700000000000000000e+01,nan,3.000000000000000000e+01,2.300000000000000000e+01,nan,nan,nan,nan,nan,2.265625000000000000e+01,3.150000000000000000e+01,3.400000000000000000e+01,2.851562500000000000e+01,nan,nan,nan,3.046875000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.418750000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.437500000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan
1.700000000000000000e+01,1.679687500000000000e+01,1.679687500000000000e+01,nan,1.875000000000000000e+01,2.000000000000000000e+01,2.070312500000000000e+01,2.600000000000000000e+01,2.400000000000000000e+01,2.200000000000000000e+01,2.257812500000000000e+01,3.437500000000000000e+01,nan,nan,2.232812500000000000e+01,3.200000000000000000e+01,nan,nan,nan,1.972656200000000126e+01,2.656250000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.800000000000000000e+01,nan,nan,2.656250000000000000e+01,2.950000000000000000e+01,3.023437500000000000e+01,3.100000000000000000e+01,2.900000000000000000e+01,nan,3.000000000000000000e+01,2.700000000000000000e+01,nan,3.200000000000000000e+01,2.500000000000000000e+01,nan,nan,nan,nan,nan,2.460937500000000000e+01,nan,nan,2.656250000000000000e+01,nan,nan,2.000000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.484375000000000000e+01,1.600000000000000000e+01,1.289062500000000000e+01,nan,2.480468799999999874e+01,2.300000000000000000e+01,1.679687500000000000e+01,2.100000000000000000e+01,1.972656200000000126e+01,2.070312500000000000e+01,2.265625000000000000e+01,2.600000000000000000e+01,nan,nan,2.400000000000000000e+01,2.000000000000000000e+01,nan,nan,nan,1.900000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.900000000000000000e+01,1.679693800000000081e+01,nan,2.070312500000000000e+01,1.700000000000000000e+01,nan,2.265625000000000000e+01,1.875000000000000000e+01,nan,nan,nan,nan,nan,1.887500000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.265625000000000000e+01,2.000000000000000000e+01,2.400000000000000000e+01,nan,1.800000000000000000e+01,1.900000000000000000e+01,2.265625000000000000e+01,nan,2.460937500000000000e+01,2.100000000000000000e+01,2.200000000000000000e+01,3.100000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,2.100000000000000000e+01,2.800000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.484375000000000000e+01,nan,nan,3.300000000000000000e+01,nan,nan,1.582031199999999949e+01,nan,nan,2.412109399999999937e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.232812500000000000e+01,nan,nan,nan,nan,nan,3.400000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,2.300000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.200000000000000000e+01,2.100000000000000000e+01,2.656250000000000000e+01,nan,2.000000000000000000e+01,1.679687500000000000e+01,2.460937500000000000e+01,nan,2.656250000000000000e+01,2.600000000000000000e+01,3.000000000000000000e+01,3.500000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,2.265625000000000000e+01,2.900000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.200000000000000000e+01,nan,2.950000000000000000e+01,3.046875000000000000e+01,3.291015600000000063e+01,3.250000000000000000e+01,3.300000000000000000e+01,3.437500000000000000e+01,nan,3.100000000000000000e+01,2.950000000000000000e+01,nan,nan,3.242187500000000000e+01,nan,nan,nan,nan,nan,2.700000000000000000e+01,2.900000000000000000e+01,nan,2.265625000000000000e+01,nan,nan,nan,2.100000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.200000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.700000000000000000e+01,2.000000000000000000e+01,1.600000000000000000e+01,nan,2.265625000000000000e+01,2.265625000000000000e+01,1.484375000000000000e+01,1.777343799999999874e+01,1.700000000000000000e+01,1.700000000000000000e+01,1.900000000000000000e+01,2.656250000000000000e+01,2.700000000000000000e+01,2.579296899999999937e+01,2.167968799999999874e+01,2.000000000000000000e+01,1.948242199999999968e+01,nan,nan,1.950000000000000000e+01,2.265625000000000000e+01,2.850000000000000000e+01,nan,2.100000000000000000e+01,nan,3.023437500000000000e+01,2.400000000000000000e+01,nan,nan,nan,2.700000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.986328100000000063e+01,nan,1.900000000000000000e+01,1.800000000000000000e+01,1.875012600000000162e+01,3.600000000000000000e+01,2.998046899999999937e+01,2.200000000000000000e+01,2.750000000000000000e+01,2.363281200000000126e+01,2.000000000000000000e+01,nan,2.265625000000000000e+01,1.700000000000000000e+01,nan,nan,nan,nan,nan,1.900000000000000000e+01,2.100000000000000000e+01,nan,nan,nan,nan,nan,nan,2.631835900000000095e+01,2.900000000000000000e+01,3.242187500000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.000000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan
2.000000000000000000e+01,2.800000000000000000e+01,2.100000000000000000e+01,nan,2.900000000000000000e+01,2.900000000000000000e+01,1.679687500000000000e+01,1.500000000000000000e+01,1.875000000000000000e+01,2.900000000000000000e+01,2.208398400000000095e+01,2.900000000000000000e+01,2.600000000000000000e+01,3.000000000000000000e+01,1.875000000000000000e+01,1.700000000000000000e+01,1.972656200000000126e+01,2.460937500000000000e+01,nan,2.700000000000000000e+01,2.800000000000000000e+01,3.200000000000000000e+01,nan,1.875000000000000000e+01,2.600000000000000000e+01,3.046875000000000000e+01,2.800000000000000000e+01,nan,nan,nan,3.369921899999999937e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.875000000000000000e+01,nan,1.700000000000000000e+01,1.700000000000000000e+01,2.000000000000000000e+01,2.900000000000000000e+01,3.000000000000000000e+01,2.025000000000000000e+01,2.850000000000000000e+01,2.200000000000000000e+01,1.700000000000000000e+01,2.500000000000000000e+01,2.100000000000000000e+01,1.700000000000000000e+01,nan,nan,nan,nan,nan,1.800000000000000000e+01,2.300000000000000000e+01,nan,nan,nan,nan,nan,nan,3.400000000000000000e+01,3.046875000000000000e+01,nan,nan,nan,nan,nan,nan,nan,3.221093799999999874e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.998046899999999937e+01,nan,nan,nan,nan,nan,nan,nan,nan
2.167968799999999874e+01,2.200000000000000000e+01,2.100000000000000000e+01,nan,2.363281200000000126e+01,3.100000000000000000e+01,1.800000000000000000e+01,1.800000000000000000e+01,1.600000000000000000e+01,1.875000000000000000e+01,1.700000000000000000e+01,1.777343799999999874e+01,2.100000000000000000e+01,2.100000000000000000e+01,1.800000000000000000e+01,2.000000000000000000e+01,1.900000000000000000e+01,2.000000000000000000e+01,2.265625000000000000e+01,1.800000000000000000e+01,1.800000000000000000e+01,2.265625000000000000e+01,nan,1.900000000000000000e+01,1.289062500000000000e+01,2.400000000000000000e+01,1.484375000000000000e+01,nan,nan,nan,2.700000000000000000e+01,nan,nan,nan,2.656250000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,1.393359399999999937e+01,nan,nan,nan,1.484375000000000000e+01,1.386718800000000051e+01,2.167968799999999874e+01,2.000000000000000000e+01,nan,1.484375000000000000e+01,1.400000000000000000e+01,nan,2.070312500000000000e+01,1.911914099999999905e+01,nan,nan,nan,nan,nan,nan,1.550000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,3.046875000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.183984399999999937e+01,1.900000000000000000e+01,1.972656200000000126e+01,nan,1.875000000000000000e+01,1.900000000000000000e+01,1.800000000000000000e+01,2.381640600000000063e+01,1.800000000000000000e+01,1.679687500000000000e+01,1.777343799999999874e+01,2.300000000000000000e+01,2.900000000000000000e+01,nan,2.200000000000000000e+01,1.986328100000000063e+01,nan,nan,nan,1.800000000000000000e+01,2.150000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.386718800000000051e+01,nan,2.700000000000000000e+01,2.363281200000000126e+01,nan,1.386718800000000051e+01,1.386718800000000051e+01,nan,2.350000000000000000e+01,2.119140600000000063e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.900000000000000000e+01,nan,2.900000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
